Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
FPI,Farmland Partners Inc.,Real Estate,REIT - Specialty,USA,694940000.0,65.82,12.77,0.0031,225298.0,"['TL Resistance', 'Channel Down']",2,-,0.19,2.50%,53.49M,-1.16%,89.93,0.14,0.33%,50.20M,2.08%,9.00M,-,0.15,47.60%,3.25% / 4.87,-7.60%,59.40M,11.70,6.30%,9.20%,1.63M,-12.47%,10.80,1.18,-33.02%,0.80%,15.60,14.32%,0.16,78.08,-,1.70%,10.95,16.43,2.49%,0.24,302.15,-31.20%,1.70%,-22.28%,0.79,1.88%,-,10.80%,79.00%,16.62%,0.30,25,-,29.70%,40.00%,45.48,2.56%,2.24%,Yes,0.71,103.80%,15.10%,0.67,12.73,Yes,0.71,-,108.10%,335.04K,2.20,-1.64%,-0.51%,-7.64%,"Farmland Partners Inc. is an internally managed real estate company that owns and seeks to acquire high-quality North American farmland and makes loans to farmers secured by farm real estate. As of the date of this release, the Company owns approximately 155,000 acres in 16 states, including Alabama, Arkansas, California, Colorado, Florida, Georgia, Illinois, Kansas, Louisiana, Michigan, Mississippi, Nebraska, North Carolina, South Carolina, South Dakota and Virginia. We have approximately 26 crop types and over 100 tenants. The Company elected to be taxed as a real estate investment trust, or REIT, for U.S. federal income tax purposes, commencing with the taxable year ended December 31, 2014."
TBI,"TrueBlue, Inc.",Industrials,Staffing & Employment Services,USA,575290000.0,9.74,18.24,-0.0215,181318.0,"['TL Resistance', 'Channel Down']",2,-,1.87,1.60%,32.43M,-9.21%,11.14,1.64,-1.34%,31.66M,-7.88%,62.30M,0.97,0.01,-,1.67% / 3.44,-8.02%,2.25B,0.26,143.00%,-1.15%,0.53M,-11.24%,15.01,1.22,51.15%,7.40%,22.33,-31.45%,1.39,13.13,10.00%,15.30%,15.77,30.32,-6.84%,-,-,46.40%,9.60%,-39.84%,1.47,-,1.80,-4.60%,26.70%,15.66%,0.73,6400,1.80,-0.20%,3.70%,39.89,5.32%,3.19%,Yes,0.16,20.00%,3.30%,1.18,18.64,Yes,0.05,Feb 01 AMC,0.00%,153.62K,2.00,-6.53%,-7.62%,-11.46%,"TrueBlue, Inc., together with its subsidiaries, provides specialized workforce solutions in the United States, Canada, and Puerto Rico. It operates through three segments: PeopleReady, PeopleManagement, and PeopleScout. The PeopleReady segment offers contingent staffing solutions for blue-collar, on-demand, and skilled labor in construction, manufacturing and logistics, warehousing and distribution, waste and recycling, energy, retail, hospitality, and general labor industries. The PeopleManagement segment provides contingent labor and outsourced industrial workforce solutions. This segment also offers on-site management and recruitment for the contingent industrial workforce of manufacturing, warehouse, and distribution facilities; and recruitment and management of contingent and dedicated commercial drivers to the transportation and distribution industries under the Staff Management, SIMOS Insourcing Solutions, and Centerline Drivers brands. The PeopleScout segment offers permanent employee recruitment process outsourcing services; and manages clients' contingent labor programs comprising vendor selection, performance management, compliance monitoring, and risk management. The company was formerly known as Labor Ready, Inc. and changed its name to TrueBlue, Inc. in December 2007. TrueBlue, Inc. was incorporated in 1985 and is headquartered in Tacoma, Washington."
FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,319930000.0,,9.55,0.0021,71915.0,TL Resistance,1,-,-0.09,5.40%,34.39M,8.52%,15.94,0.60,-0.04%,32.54M,22.91%,-2.80M,-,-0.11,45.70%,2.47% / 7.05,39.21%,170.50M,1.88,-200.00%,-9.43%,0.80M,35.46%,3.09,3.09,281.80%,-0.50%,12.67,14.51%,2.56,3.73,15.00%,-2.50%,4.82,10.74,26.99%,-,-,26.90%,8.80%,-11.08%,1.86,-,5.90,4.30%,56.30%,98.13%,0.38,893,5.90,-12.30%,13.30%,68.63,4.55%,4.32%,Yes,3.80,-182.50%,-1.60%,0.63,9.53,Yes,3.80,Nov 07 AMC,-,114.15K,2.00,7.44%,17.56%,35.63%,"Full House Resorts, Inc. owns, develops, invests in, operates, manages, and leases casinos, and related hospitality and entertainment facilities in the United States. The company owns and operates the Silver Slipper Casino and Hotel in Hancock County, Mississippi, which has 757 slot machines and 24 table games, a surface parking lot, and a 129 hotel rooms; an on-site sportsbook, a fine-dining restaurant, a buffet, and a quick-service restaurant, as well as an oyster bar, a casino bar, and a beachfront bar; and 37-space beachfront RV park. It also owns and operates the Bronco Billy's Casino and Hotel in Cripple Creek, Colorado that has gaming space and 14 hotel rooms, as well as a steakhouse and a casual dining outlet. In addition, the company owns and operates the Rising Star Casino Resort in Rising Sun, Indiana, which has 642 slot machines and 16 table games; a land-based pavilion with approximately 31,500 square feet of meeting and convention space; a contiguous 190-guest-room hotel and an adjacent leased 104-guest-room hotel; a 56-space RV park; surface parking; an 18-hole golf course on approximately 230 acres; and four dining outlets. Further, it owns and operates the Stockman's Casino that is located in Fallon, Nevada, which has 186 slot machines, a bar, a fine-dining restaurant, and a coffee shop; and the Grand Lodge Casino that has 269 slot machines and 9 table games, which is integrated into the Hyatt Regency Lake Tahoe Resort, Spa and Casino in Incline Village, Nevada. Full House Resorts, Inc. was incorporated in 1987 and is headquartered in Las Vegas, Nevada."
BXSL,Blackstone Secured Lending Fund,Financial,Asset Management,USA,3940000000.0,10.07,24.35,-0.011399999999999999,809656.0,"['TL Resistance', 'Channel Down']",2,-,2.42,0.10%,165.03M,-1.74%,7.00,3.48,111.42%,159.59M,7.93%,404.70M,-,0.88,39.80%,0.09% / 0.18,4.42%,791.40M,4.98,110.60%,26.97%,0.15M,4.24%,25.26,0.96,20.14%,4.00%,26.22,-13.46%,0.81,30.06,-,9.30%,21.81,29.35,8.95%,2.40,-,-,3.50%,-17.04%,-,9.86%,-,-,57.70%,11.64%,0.40,-,-,35.90%,57.20%,60.35,1.31%,1.59%,Yes,1.32,-12.20%,51.10%,0.96,24.63,Yes,1.32,Feb 27 BMO,24.80%,839.40K,2.00,2.20%,4.30%,1.69%,"Blackstone Secured Lending Fund is business development company and a Delaware statutory trust formed on March 26, 2018, and structured as an externally managed, non-diversified closed-end investment Fund. On October 26, 2018, the fund elected to be regulated as a business development company (BDC) under the Investment Company Act of 1940, as amended (the 1940 Act). In addition, the Fund elected to be treated for U.S. federal income tax purposes, as a regulated investment company (RIC), as defined under Subchapter M of the Internal Revenue Code of 1986, as amended (the Code). The fund also intends to continue to comply with the requirements prescribed by the Code in order to maintain tax treatment as a RIC. The fund's investment objectives are to generate current income and, to a lesser extent, long-term capital appreciation. The Fund seeks to achieve its investment objective primarily through originated loans, equity and other securities, including syndicated loans, of private U.S. companies, specifically small and middle market companies, typically in the form of first lien senior secured and unitranche loans (including first out/last out loans), and to a lesser extent, second lien, third lien, unsecured and subordinated loans and other debt and equity securities."
BRY,Berry Corporation,Energy,Oil & Gas E&P,USA,683160000.0,4.03,9.11,-0.0044,685619.0,"['TL Resistance', 'Wedge']",2,-,2.26,10.20%,78.04M,0.11%,6.59,1.38,-55.66%,75.64M,12.75%,187.00M,0.27,0.24,99.54%,3.19% / 3.80,-2.52%,931.70M,0.73,94.10%,7.46%,2.41M,5.84%,9.86,0.92,-27.26%,12.50%,11.80,14.72%,0.55,16.46,15.00%,27.40%,6.10,11.41,13.87%,0.24,5.45,58.50%,1.50%,-20.19%,2.26,2.63%,1.00,5.80%,52.90%,49.23%,0.33,1224,1.00,162.50%,24.70%,56.54,4.04%,3.39%,No,0.51,1848.60%,20.10%,1.08,9.15,Yes,0.51,Feb 22 BMO,7.50%,634.02K,2.20,1.88%,8.50%,7.86%,"Berry Corporation, an independent upstream energy company, engages in the development and production of conventional oil reserves located in the western United States. It operates in two segments, Development and Production, and Well Servicing and Abandonment. The company's properties are located in the San Joaquin and Ventura basins, California; and Uinta basin, Utah. As of December 31, 2021, it had a total of 3,417 net productive wells. The company was formerly known as Berry Petroleum Corporation and changed its name to Berry Corporation in February 2020. Berry Corporation was founded in 1909 and is headquartered in Dallas, Texas."
FXLV,F45 Training Holdings Inc.,Consumer Cyclical,Leisure,USA,290240000.0,,3.03,-0.035,351918.0,"['TL Resistance', 'Wedge']",2,-,-0.82,1.30%,97.10M,-5.02%,13.35,0.23,283.69%,47.55M,-2.26%,-77.60M,-,0.00,50.50%,12.72% / 14.32,-2.88%,171.20M,1.70,-580.60%,2.81%,6.05M,71.19%,0.44,6.89,124.20%,-34.00%,3.75,-75.78%,0.17,17.38,-,-78.60%,0.79,15.78,6.32%,-,-,-,-56.30%,-80.80%,-,-,1.00,-,71.40%,285.64%,0.22,160,1.60,7.70%,-31.30%,51.61,6.74%,7.52%,Yes,2.08,59.40%,-45.30%,0.83,3.14,Yes,2.08,-,-,422.52K,2.70,1.51%,3.53%,-17.83%,"F45 Training Holdings Inc. operates as a fitness franchisor. The company offers consumers functional 45-minute workouts that combine elements of high-intensity interval, circuit, and functional training. It provides workouts primarily through its digitally-connected network of studios. As of December 31, 2021, the company operated 1,749 total studios. It has operations in the United States, South America, Australia, New Zealand and surrounding island nations, and internationally. The company was formerly known as Flyhalf Holdings Inc. and changed its name to F45 Training Holdings Inc. in March 2019. F45 Training Holdings Inc. was founded in 2013 and is headquartered in Austin, Texas."
TRMR,Tremor International Ltd,Communication Services,Advertising Agencies,Israel,581620000.0,15.17,8.04,-0.0159,70141.0,"['TL Resistance', 'Wedge Down']",2,-,0.53,0.50%,72.02M,-2.07%,4.59,1.75,0.00%,71.66M,14.69%,-,-,0.37,11.89%,0.64% / 2.49,1.01%,330.09M,1.76,-27.10%,-,0.46M,-24.08%,11.37,0.71,44.60%,-,13.80,-46.40%,-,-,-,-,6.12,16.73,24.65%,-,-,-,-,-51.94%,-,-,-,-,-,31.37%,0.33,576,-,-18.60%,-,58.07,2.78%,4.40%,Yes,-,-,-,0.38,8.17,Yes,-,Nov 14 BMO,-,184.63K,1.90,3.08%,8.88%,-7.12%,"Tremor International Ltd. provides end-to-end software platform that enables advertisers to reach relevant audiences and publishers. The company's demand side platform (DSP) offers full-service and self-managed marketplace access to advertisers and agencies in order to execute their digital marketing campaigns in real time across various ad formats. Its sell supply side platform (SSP) provides access to data and a comprehensive product suite to drive inventory management and revenue optimization. The company also offers data management platform solution, which integrates DSP and SSP solutions enabling advertisers and publishers to use data from various sources in order to optimize results of their advertising campaigns. It serves Ad buyers, advertisers, brands, agencies, and digital publishers in Israel, the United States, the Asia-Pacific, Europe, the Middle East, and Africa. The company was formerly known as Taptica International Ltd. and changed its name to Tremor International Ltd. in September 2015. Tremor International Ltd. was incorporated in 2007 and is headquartered in Tel Aviv-Yafo, Israel."
BIS,ProShares UltraShort Nasdaq Biotechnology,Financial,Exchange Traded Fund,USA,,,19.42,0.0446,21994.0,TL Resistance,1,-,-,-,-,5.83%,-,-,-,-,-1.57%,-,-,-,-,- / -,-6.99%,-,-,-,-,-,-10.47%,-,-,-,-,-,-23.50%,-,-,-,-,17.88,35.64,-1.12%,-,-,-,-,-45.51%,-,-,-,-,-,8.61%,0.50,-,-,-,-,58.68,2.31%,2.26%,Yes,-,-,-,1.17,18.59,Yes,-,-,-,18.73K,-,5.15%,2.49%,-17.38%,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a modified capitalization weighted index that includes securities of Nasdaq listed companies that are classified as either biotechnology or pharmaceutical. The fund is non-diversified."
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,USA,12930000000.0,41.32,83.43,-0.0213,1308147.0,"['TL Resistance', 'Double Bottom']",2,-,2.02,0.20%,148.57M,-1.93%,24.83,3.36,0.00%,147.90M,12.55%,269.70M,6.87,0.78,-,4.48% / 3.75,26.03%,2.97B,4.35,38.40%,3.81%,6.62M,-13.80%,20.98,3.98,-8.60%,4.80%,100.27,-34.53%,4.86,17.17,6.01%,12.60%,61.75,141.82,27.20%,0.40,-,34.40%,17.30%,-41.17%,1.28,0.48%,1.70,14.40%,43.30%,35.11%,3.64,6850,2.60,71.50%,16.60%,56.50,3.66%,4.25%,Yes,1.88,-157.70%,9.10%,0.74,85.25,Yes,1.81,Feb 14 BMO,18.70%,1.77M,2.10,3.24%,12.68%,-7.08%,"Entegris, Inc. develops, manufactures, and supplies microcontamination control products, specialty chemicals, and advanced materials handling solutions in North America, Taiwan, China, South Korea, Japan, Europe, and Southeast Asia. It operates in three segments: Specialty Chemicals and Engineered Materials (SCEM); Microcontamination Control (MC); and Advanced Materials Handling (AMH). The SCEM segment offers high-performance and high-purity process chemistries, gases, and materials, as well as delivery systems to support semiconductor and other advanced manufacturing processes. The MC segment provides solutions to filter and purify critical liquid chemistries and gases used in semiconductor manufacturing processes and other high-technology industries. The AMH segment develops solutions to monitor, protect, transport, and deliver critical liquid chemistries, wafers, and other substrates for application in the semiconductor, life sciences, and other high-technology industries. The company's customers include logic and memory semiconductor device manufacturers, semiconductor equipment makers, gas and chemical manufacturing companies, and wafer grower companies; and flat panel display equipment makers, panel manufacturers, and manufacturers of hard disk drive components and devices, as well as their related ecosystems. It also serves manufacturers and suppliers in the solar industries, electrical discharge machining customers, glass and glass container manufacturers, aerospace manufacturers, and manufacturers of biomedical implantation devices. Entegris, Inc. was founded in 1966 and is headquartered in Billerica, Massachusetts."
SAR,Saratoga Investment Corp.,Financial,Asset Management,USA,317140000.0,22.87,26.74,-0.009300000000000001,27174.0,TL Resistance,1,-,1.17,6.00%,11.89M,-1.11%,8.18,3.27,0.00%,8.71M,1.10%,13.90M,-,0.78,20.30%,0.41% / 0.90,13.40%,85.80M,3.70,202.30%,-4.14%,0.04M,9.28%,28.23,0.95,161.31%,1.40%,28.36,-4.09%,3.96,6.75,-,4.00%,20.16,28.44,4.90%,2.72,-,15.00%,1.90%,-5.98%,1.45,10.17%,-,16.40%,43.70%,32.64%,0.54,-,-,59.40%,34.90%,51.03,1.75%,1.84%,Yes,1.87,-30.60%,16.20%,0.68,26.99,Yes,1.87,Jan 10 AMC,195.00%,40.25K,1.60,-0.92%,1.19%,8.30%,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. is based in New York, New York with an additional office in Florham Park, New Jersey."
EZM,WisdomTree U.S. MidCap Earnings Fund,Financial,Exchange Traded Fund,USA,,,54.32,-0.014199999999999999,18270.0,TL Resistance,1,-,-,-,-,-1.14%,-,-,-,-,8.19%,-,-,-,-,- / -,11.38%,-,-,-,-,-,8.68%,-,-,-,-,-,1.95%,-,-,-,-,43.61,56.41,11.72%,0.76,-,-,-,-3.71%,-,1.40%,-,-,-,24.56%,0.96,-,-,-,-,59.99,1.52%,1.58%,No,-,-,-,0.45,55.10,Yes,-,-,-,40.56K,-,2.57%,6.50%,9.98%,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of earnings-generating companies within the mid-capitalization segment of the U.S. stock market. The fund is non-diversified."
